name,type,category,power,accuracy,pp,description,move_page_desc,makes_contact,introduced,priority
Defog,Flying,Status,0,0,15,Lowers opponent's Evasiveness and clears fog.,"Defoglowers the target's Evasion by one stage and removes entry hazards and barriers on both sides of the field. The moves affected are:Light Screen,Reflect,Mist,Safeguard,Spikes,Stealth Rock,Sticky WebandToxic Spikes.",No,4,0
Destiny Bond,Ghost,Status,0,0,5,"If the user faints, the opponent also faints.","If the user faints, the opponent also faints.Z-Move effectsWhen a Pokémon is holdingGhostium Zand uses its Z-Power,Destiny Bondturns intoZ-Destiny Bondand makes the Pokémon become the center of attention, in addition to its usual effect as above.",No,2,0
Detect,Fighting,Status,0,0,5,"Protects the user, but may fail if used consecutively.","Detectprevents any attacks targeted at the user from striking, for the duration of the turn. It has priority +4 so will activate before most other moves. The move functions identically toProtect.",No,2,4
Devastating Drake,Dragon,0,0,0,1,Dragon type Z-Move.,"Devastating Drakeis the Dragon type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Diamond Storm,Rock,Physical,100,95,5,May sharply raise user's Defense.,Diamond Stormdeals damage and has a 50% chance of raising the user's Defense by two stages.,No,6,0
Dig,Ground,Physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves.","The user ofDigwillburrow its way undergroundon the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn,Digdeals damage.",Yes,1,0
Dire Claw,Poison,Physical,80,100,15,"May poison, paralyze or put the opponent to sleep.","Dire Clawdeals damage and has a 50% chance of either poisoning, paralyzing, or putting the target to sleep.",Yes,8,0
Disable,Normal,Status,0,100,20,Opponent can't use its last attack for a few turns.,"Disablecauses the previous move the target used to bedisabledfor 1-8 turns, which prevents the move's use.",No,1,0
Disarming Voice,Fairy,Special,40,∞,15,Ignores Accuracy and Evasiveness.,"Disarming Voicedeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Shadow ForceorSky Drop.",No,6,0
Discharge,Electric,Special,80,100,15,May paralyze opponent.,Dischargedeals damage and has a 30% chance of paralyzing the target(s).,No,4,0
Dive,Water,Physical,80,100,10,"Dives underwater on first turn, attacks on second turn.","The user ofDivewillhide underwateron the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn,Divedeals damage.",Yes,3,0
Dizzy Punch,Normal,Physical,70,100,10,May confuse opponent.,Dizzy Punchdeals damage and has a 20% chance ofconfusingthe target.,Yes,1,0
Doodle,Normal,Status,0,100,10,Changes the abilities of the user and its teammates to that of the target.,Changes the abilities of the user and its teammates to that of the target.,No,9,0
Doom Desire,Steel,Special,140,100,5,Damage occurs 2 turns later.,"Two turns after the move is selected,Doom Desirewill deal damage. If the opponent switched Pokémon in the meantime, the damage dealt will depend on the Special Defense of the Pokémon the move hits, not the Pokémon it was originally targeted at.",No,3,0
Double Hit,Normal,Physical,35,90,10,Hits twice in one turn.,Double Hitdeals damage and will strike twice (with 35 base power each time).,Yes,4,0
Double Iron Bash,Steel,Physical,60,100,5,Hits twice in one turn; may cause flinching.,"Double Iron Bashdeals damage, will strike twice (with 60 base power each time), and has a 30% chance of causing the target to flinch (if the target has not yet moved). Pokémon with the abilityInner Focusor those behind aSubstitutecannot be made to flinch.",Yes,7,0
Double Kick,Fighting,Physical,30,100,30,Hits twice in one turn.,Double Kickdeals damage and will strike twice (with 30 base power each time).,Yes,1,0
Double Shock,Electric,Physical,120,100,5,"After using this move, the user will no longer be Electric type.","After using this move, the user will no longer be Electric type.",Yes,9,0
Double Slap,Normal,Physical,15,85,10,Hits 2-5 times in one turn.,"Double Slaphits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",Yes,1,0
Double Team,Normal,Status,0,0,15,Raises user's Evasiveness.,"Double Teamraises the user's Evasiveness by one stage, thus making the user more difficult to hit.",No,1,0
Double-Edge,Normal,Physical,120,100,15,User receives recoil damage.,"Double-Edgedeals damage, but the user receives1⁄3of the damage it inflicted in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP.",Yes,1,0
Draco Meteor,Dragon,Special,130,90,5,Sharply lowers user's Special Attack.,Draco Meteordeals damage but lowers the user's Special Attack by two stages after attacking.,No,4,0
Dragon Ascent,Flying,Physical,120,100,5,Lowers user's Defense and Special Defense.,Dragon Ascentdeals damage but lowers the user's Defense and Special Defense by one stage each after attacking.,Yes,6,0
Dragon Breath,Dragon,Special,60,100,20,May paralyze opponent.,Dragon Breathdeals damage and has a 30% chance of paralyzing the target.,No,2,0
Dragon Cheer,Dragon,Status,0,∞,15,,The user raises its allies’ morale with a draconic cry so that their future attacks have a heightened chance of landing critical hits. This rouses Dragon types more.,No,9,0
Dragon Claw,Dragon,Physical,80,100,15,,Dragon Clawdeals damage with no additional effect.,Yes,3,0
Dragon Dance,Dragon,Status,0,0,20,Raises user's Attack and Speed.,Dragon Danceraises the user's Attack and Speed by one stage each.,No,3,0
Dragon Darts,Dragon,Physical,50,100,10,User attacks twice.,"Dragon Dartsdeals damage and hits twice. In a double battle, it hits each opponent once.",No,8,0
Dragon Energy,Dragon,Special,150,100,5,"The higher the user's HP, the higher the power.","The higher the user's HP, the higher the power.",No,8,0
Dragon Hammer,Dragon,Physical,90,100,15,The user uses its body like a hammer to attack the target and inflict damage.,"The user uses its body like a hammer to attack the target and inflict damage.Z-Move effectsWhen a Pokémon is holdingDragonium Zand uses its Z-Power,Dragon Hammerturns intoDevastating Drakeand has base power175.",Yes,7,0
Dragon Pulse,Dragon,Special,85,100,10,,Dragon Pulsedeals damage with no additional effect.,No,4,0
Dragon Rage,Dragon,Special,0,100,10,Always inflicts 40 HP.,"Dragon Ragealways deals 40 HP damage to the target, regardless of typing. It has no additional effect.",No,1,0
Dragon Rush,Dragon,Physical,100,75,10,May cause flinching.,Dragon Rushdeals damage and has a 20% chance of causing the target to flinch (if the target has not yet moved).,Yes,4,0
Dragon Tail,Dragon,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.","In battles, the opponent switches. In the wild, the Pokémon runs.Z-Move effectsWhen a Pokémon is holdingDragonium Zand uses its Z-Power,Dragon Tailturns intoDevastating Drakeand has base power120.",Yes,5,-6
Drain Punch,Fighting,Physical,75,100,10,User recovers half the HP inflicted on opponent.,Drain Punchdeals damage and the user will recover 50% of the HP drained.,Yes,4,0
Draining Kiss,Fairy,Special,50,100,10,User recovers most the HP inflicted on opponent.,Draining Kissdeals damage and the user will recover 75% of the HP drained.,Yes,6,0
Dream Eater,Psychic,Special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.,Dream Eaterdeals damage only on sleeping foes and the user will recover 50% of the HP drained.,No,1,0
Drill Peck,Flying,Physical,80,100,20,,"Drill Peckdeals damage with no additional effect, besides being able to hit non-adjacent Pokémon in triple battles.",Yes,1,0
Drill Run,Ground,Physical,80,95,10,High critical hit ratio.,Drill Rundeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,Yes,5,0
Drum Beating,Grass,Physical,80,100,10,Lowers opponent's Speed.,Lowers opponent's Speed.							(100% chance),No,8,0
Dual Chop,Dragon,Physical,40,90,15,Hits twice in one turn.,Dual Chopdeals damage and will strike twice (with 40 base power each time).,Yes,5,0
Dual Wingbeat,Flying,Physical,40,90,10,The user slams the target with its wings. The target is hit twice in a row.,The user slams the target with its wings. The target is hit twice in a row.,Yes,8,0
Dynamax Cannon,Dragon,Special,100,100,5,Damage doubles if opponent is Dynamaxed.,Damage doubles if opponent is Dynamaxed.,No,8,0
Dynamic Punch,Fighting,Physical,100,50,5,Confuses opponent.,"Dynamic Punchdeals damage and confuses the target, if it hits. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.",Yes,2,0
Earth Power,Ground,Special,90,100,10,May lower opponent's Special Defense.,Earth Powerdeals damage and has a 10% chance of lowering the target's Special Defense by one stage.,No,4,0
Earthquake,Ground,Physical,100,100,10,Power is doubled if opponent is underground from using Dig.,"Earthquakedeals damage, and will hit with double power if the opponent is underground due to the moveDig.",No,1,0
Echoed Voice,Normal,Special,40,100,15,Power increases each turn.,"Echoed Voicedeals damage starting at base power 40, and increases by 40 each turn if used by any Pokémon on the field, up to a maximum base power of 200.",No,5,0
Eerie Impulse,Electric,Status,0,100,15,Sharply lowers opponent's Special Attack.,Eerie Impulselowers the target's Special Attack by two stages.,No,6,0
Eerie Spell,Psychic,Special,80,100,5,Deals damage and reduces opponent's PP.,Eerie Spelldeals damage and reduces the PP of the target's last-used move by 3.,No,8,0
Egg Bomb,Normal,Physical,100,75,10,,Egg Bombdeals damage with no additional effect.,No,1,0
Electric Terrain,Electric,Status,0,0,10,Prevents all Pokémon from falling asleep for 5 turns.,"Electric Terraincreates a low-lying electric field lasting 5 turns, that prevents grounded Pokémon from falling asleep. The power ofElectrictype moves also increases by 50% while in effect.",No,6,0
Electrify,Electric,Status,0,0,20,Changes the target's move to Electric type.,"Electrifycauses the target's move to become Electric type, if it has yet to attack during that turn.",No,6,0
Electro Ball,Electric,Special,0,100,10,"The faster the user, the stronger the attack.","Electro Ballinflicts more damage the faster the user is compared to the opponent. The table shows the different base powers for each ratio, wherer = UserSpeed ÷ TargetSpeed",No,5,0
Electro Drift,Electric,Special,100,100,5,Boosted even more if it's super-effective.,Boosted even more if it's super-effective.,Yes,9,0
Electro Shot,Electric,Special,130,100,10,"Charges on first turn, attacks on second.","The userabsorbs electricityon the first turn and raises its Special Attack; on the second turn,Electro Shotdeals damage.",No,9,0
Electroweb,Electric,Special,55,95,15,Lowers opponent's Speed.,Electrowebdeals damage and lowers the target's Speed by one stage.,No,5,0
Embargo,Dark,Status,0,100,15,Opponent cannot use items.,Embargoprevents the target using any items for five turns. This includes both held items and items used by the trainer such as medicines.,No,4,0
Ember,Fire,Special,40,100,25,May burn opponent.,Emberdeals damage and has a 10% chance of burning the target.,No,1,0
Encore,Normal,Status,0,100,5,Forces opponent to keep using its last move for 3 turns.,Encoreforces the target to use the previously selected move for 3 turns.,No,2,0
Endeavor,Normal,Physical,0,100,5,Reduces opponent's HP to same as user's.,Endeavorreduces the opponent's HP to equal the user's. (It fails if the user's HP is higher than the target's.),Yes,3,0
Endure,Normal,Status,0,0,10,"Always left with at least 1 HP, but may fail if used consecutively.",Endureallows the user to survive all attacks during the turn with at least 1 HP (even if it already has 1 HP remaining). It has priority +4 so will activate before most other moves.,No,2,4
Energy Ball,Grass,Special,90,100,10,May lower opponent's Special Defense.,Energy Balldeals damage and has a 10% chance of lowering the target's Special Defense by one stage.,No,4,0
Entrainment,Normal,Status,0,100,15,Makes target's ability same as user's.,Entrainmentmakes the target's ability the same as the user's.,No,5,0
Eruption,Fire,Special,150,100,5,Stronger when the user's HP is higher.,Eruptioninflicts more damage when the user's HP is higher. At full HP its base power is150and it decreases in proportion - i.e. the power is:,No,3,0
Esper Wing,Psychic,Special,80,100,10,High critical hit ratio. Raises user's Speed.,Esper Wingdeals damage and raises the user's Speed by one stage. It also has an increased critical hit ratio (1⁄8instead of1⁄24).,No,8,0
Eternabeam,Dragon,Special,160,90,5,User can't move on the next turn.,User can't move on the next turn.,No,8,0
Expanding Force,Psychic,Special,80,100,10,Increases power and hits all opponents on Psychic Terrain.,The user attacks the target with its psychic power. This move’s power goes up and damages all opposing Pokémon on Psychic Terrain.,No,8,0
Explosion,Normal,Physical,250,100,5,User faints.,"Explosiondeals high damage, but causes the user to faint.",No,1,0
Extrasensory,Psychic,Special,80,100,20,May cause flinching.,Extrasensorydeals damage and has a 10% chance of causing the target to flinch (if the target has not yet moved).,No,3,0
Extreme Evoboost,Normal,Status,0,0,1,Eevee-exclusive Z-Move. Sharply raises all stats.,Extreme Evoboostis a Z-Move exclusive toEevee. It is used withLast Resort.,No,7,0
